zpid,address,cityname,state,zipcode,latitude,longitude,title,listingStatus,minPrice,maxPrice,bedrooms
455928330,619 N Segoe Rd,Madison,WI,53705,43.07346,-89.45636,Venture,forRent,2395,3395,2
455928330,619 N Segoe Rd,Madison,WI,53705,43.07346,-89.45636,Venture,forRent,3395,3395,3
450656686,800 Broadway Blvd,Kansas City,MO,64105,39.104504,-94.58852,Harvey Dutton Lofts,forRent,1125,1499,0
450656686,800 Broadway Blvd,Kansas City,MO,64105,39.104504,-94.58852,Harvey Dutton Lofts,forRent,1300,1499,1
2085504946,1931 E 71st St,Chicago,IL,60649,41.765835,-87.577286,1931 E 71st St,forRent,885,910,1
458411563,1234 E Empire St,Bloomington,IL,61701,40.488617,-88.97149,Empire Chateaus,forRent,1999,1999,2
458700209,2221 Sherman Ave,Madison,WI,53704,43.10245,-89.36429,McKenzie Place Apartments,forRent,1750,2410,1
458700209,2221 Sherman Ave,Madison,WI,53704,43.10245,-89.36429,McKenzie Place Apartments,forRent,2410,2410,2
347788248,857-59 N Hoyne Ave #20531,Chicago,IL,60622,41.89755,-87.679344,"857 N Hoyne, 2 Bedroom - 2 Bathroom",,,,
455564579,262 W Washington Center Rd,Fort Wayne,IN,46825,41.133717,-85.14227,Archers Pointe,forRent,1142,1407,1
455564579,262 W Washington Center Rd,Fort Wayne,IN,46825,41.133717,-85.14227,Archers Pointe,forRent,1203,1407,2
455564579,262 W Washington Center Rd,Fort Wayne,IN,46825,41.133717,-85.14227,Archers Pointe,forRent,1407,1407,3
2058021299,1695 Matt Waagen Way,Sun Prairie,WI,53590,43.207397,-89.22394,Heyday Sun Prairie,forRent,1995,2695,1
2058021299,1695 Matt Waagen Way,Sun Prairie,WI,53590,43.207397,-89.22394,Heyday Sun Prairie,forRent,2435,2695,2
452298477,952 W Carmen Ave,Chicago,IL,60640,41.974255,-87.654305,The Carmen,forRent,1700,3650,0
452298477,952 W Carmen Ave,Chicago,IL,60640,41.974255,-87.654305,The Carmen,forRent,2400,3650,1
452298477,952 W Carmen Ave,Chicago,IL,60640,41.974255,-87.654305,The Carmen,forRent,3500,3650,2
2055660945,4000 Insignia Blvd,Clarkston,MI,48346,42.70895,-83.3482,Insignia,forRent,2249,2459,2
456245983,6801 W 138th Ter,Overland Park,KS,66223,38.87731,-94.66388,Corbin Crossing,forRent,1395,2039,1
456245983,6801 W 138th Ter,Overland Park,KS,66223,38.87731,-94.66388,Corbin Crossing,forRent,1697,2039,2
456245983,6801 W 138th Ter,Overland Park,KS,66223,38.87731,-94.66388,Corbin Crossing,forRent,2031,2039,3
458693986,200 E 5th Ave,Naperville,IL,60563,41.780357,-88.143394,5th Avenue Station,forRent,1975,2925,0
458693986,200 E 5th Ave,Naperville,IL,60563,41.780357,-88.143394,5th Avenue Station,forRent,2395,2925,1
458693986,200 E 5th Ave,Naperville,IL,60563,41.780357,-88.143394,5th Avenue Station,forRent,2405,2925,2
2062327442,19551 Molly St,Elkhorn,NE,68022,41.25988,-96.221306,Sundance Omaha,forRent,1317,2606,1
2062327442,19551 Molly St,Elkhorn,NE,68022,41.25988,-96.221306,Sundance Omaha,forRent,1861,2606,2
2062327442,19551 Molly St,Elkhorn,NE,68022,41.25988,-96.221306,Sundance Omaha,forRent,2576,2606,3
456315887,701 Broadway Blvd,Kansas City,MO,64105,39.105515,-94.58775,Roaster's Block,forRent,1239,3098,0
456315887,701 Broadway Blvd,Kansas City,MO,64105,39.105515,-94.58775,Roaster's Block,forRent,1443,3098,1
456315887,701 Broadway Blvd,Kansas City,MO,64105,39.105515,-94.58775,Roaster's Block,forRent,2316,3098,2
456315887,701 Broadway Blvd,Kansas City,MO,64105,39.105515,-94.58775,Roaster's Block,forRent,3098,3098,3
458677787,1630 & 1640 SW Magazine Rd,Ankeny,IA,50023,41.716805,-93.621574,Roseann Lofts,forRent,1115,1375,1
458677787,1630 & 1640 SW Magazine Rd,Ankeny,IA,50023,41.716805,-93.621574,Roseann Lofts,forRent,1375,1375,2
2058944513,1233 Shelby St,Indianapolis,IN,46203,39.750763,-86.13942,Union Square,forRent,1235,2235,0
2058944513,1233 Shelby St,Indianapolis,IN,46203,39.750763,-86.13942,Union Square,forRent,1385,2235,1
343542890,4555 Minnehaha Ave,Minneapolis,MN,55406,44.91988,-93.21462,MN46,forRent,1559,1575,1
458074206,936 Front Ave NW,Grand Rapids,MI,49504,42.979816,-85.6754,Grand View Place,forRent,1309,1309,2
457365741,3700 Cole Ave,Dallas,TX,75204,32.808525,-96.79757,Lennox West Village,forRent,1499,2999,0
457365741,3700 Cole Ave,Dallas,TX,75204,32.808525,-96.79757,Lennox West Village,forRent,1999,2999,1
457365741,3700 Cole Ave,Dallas,TX,75204,32.808525,-96.79757,Lennox West Village,forRent,2999,2999,2
458583254,6004 Prosperity Commons Dr,Charlotte,NC,28269,35.374466,-80.78361,Cascadia at Highland Creek,forRent,2299,2749,3
2052865732,8119 Douglas Ave,Dallas,TX,75225,32.861305,-96.810234,8119 Douglas,forRent,4050,12275,1
2052865732,8119 Douglas Ave,Dallas,TX,75225,32.861305,-96.810234,8119 Douglas,forRent,5950,12275,2
458695928,1382 Peachtree St NE,Atlanta,GA,30309,33.792057,-84.38686,Nomia,forRent,1528,3457,0
458695928,1382 Peachtree St NE,Atlanta,GA,30309,33.792057,-84.38686,Nomia,forRent,2109,3457,1
458695928,1382 Peachtree St NE,Atlanta,GA,30309,33.792057,-84.38686,Nomia,forRent,2957,3457,2
2082122368,6602 Everhart Rd,Corpus Christi,TX,78413,27.69018,-97.39842,Allure Apartments,forRent,875,1284,1
2082122368,6602 Everhart Rd,Corpus Christi,TX,78413,27.69018,-97.39842,Allure Apartments,forRent,1234,1284,2
352220591,100 Damon Allen Way,Palestine,TX,75801,31.735142,-95.634575,Willow Creek Apartments,forRent,1371,1757,1
352220591,100 Damon Allen Way,Palestine,TX,75801,31.735142,-95.634575,Willow Creek Apartments,forRent,1481,1757,2
2061796427,3101 Smith St,Houston,TX,77006,29.743761,-95.379814,The Hopkins,forRent,1210,2530,0
2061796427,3101 Smith St,Houston,TX,77006,29.743761,-95.379814,The Hopkins,forRent,1335,2530,1
